No	Chapter	Point	Question_JP	Question_EN	Answer	Choices1	Choices2	Choices3	Choices4	Type	Source
251	11	71	「キャシーと彼女のお姉さん[妹さん]はとても似てるね」「ええ、私は2人を区別できないわ」	Kathy and her sister are so alike. "Yes, I can't tell one from ( )."	the other	another	other	others	the other	4択	<センター試験>
252	11	71	この車を売って、別の車を買うつもりです。	I'm going to sell this car and get ( ) one.	another	another	new	different	other	4択	<桃山学院大>
253	11	71	私には3人の息子がいますが、1人はシカゴに住んでおり、 あとはニューヨークに住んでいます。	I have three sons; one lives in Chicago and ( ) live in New York.	the others	other	others	another	the others	4択	<姫路獨協大>
254	11	71	バレーボールが好きなクラスメートもいれば、テニスを楽しむクラスメートもいる。	Some of my classmates like volleyball and ( ) enjoy tennis.	others	another	other	others	the other	4択	<玉川大>
256	11	71	乗客が続々とやって来た。	Passengers came in one after ( ).	another	another	one	others	two	4択	<姫路獨協大>
257	11	71	もしそれを買いたいのなら、あと10ドル支払う必要があります。	If you want to get it, you'll have to pay ( ) ten dollars.	another	another	other	others	the another	4択	<国士舘大>
258	11	71	彼には人の気持ちがわからない。	He doesn't understand the feelings of ( ).	others	other	others	peoples	another	4択	<流通科学大>
259	11	72	彼は私が尋ねるほとんどの質問に答えることができるほど頭がいい。	He is smart enough to be able to answer ( ) questions I ask him.	most of the	almost	almost of	all most	most of the	4択	<東京経大>
260	11	72	今日は、ほとんどすべての座席が予約済みです。	( ) the seats are reserved today.	Almost all of	Almost all of	Almost of	Almost	The most of	4択	<同志社大>
261	11	72	ほとんどすべての日本人は、お米を食べるのが好きです。	( ) Japanese like to eat rice.	Most	Almost all	Most of	Almost	Almost of	4択	<拓殖大>
262	11	73	「図書館は、土曜日は開館していますか」「開館していると思います」	Will the library be open on Saturday? "( )"	I suppose so.	To get some books.	I love to read.	I suppose so.	Not many people.	4択	<九州国際大>
263	11	73	そうしたのはあまり賢いことではなかったね。 たぶんね。	That wasn't a very wise thing to do, was it? I ( ).	suppose not	don't suppose	don't suppose it	suppose it not	suppose not	4択	<青山学院大>
264	11	74	警察官はその犯罪について彼に尋ねたが、彼の母親は、彼はそれには何も関係していないと言った。	The policeman asked him about the crime but his mother said he had ( ) to do with it.	nothing	nobody	anything	anybody	nothing	4択	<中央大>
265	11	74	私は、その本を無料で手に入れました。	I got the book for nothing.	free of charge	free of charge	for a charge	at a charge	with a charge	4択	<関西外大>
267	11	75	パーティーはすばらしかった。 私たちは大いに楽しんだ。	The party was great. We enjoyed ( ) very much.	ourselves	us	with us	ourselves	by ourselves	4択	<九州産大>
268	11	75	テーブルの上のケーキを自由に取って食べてください。	Please help ( ) to some of the cakes on the table.	yourself	myself	itself	yourself	ourselves	4択	<札幌学院大>
269	11	75	私たちの家で1か月間、過ごすことになるのだから、くつろいでください。	You'll be staying with us for a month, so just ( ) at home.	make yourself	you're supposed	you're leaving	make yourself	get used to	4択	<福井工大>
270	11	75	兄 [弟] が研究のために外国に行って以来、私はひとりで暮らしている。	I've been living ( ) myself since my brother went abroad to do research.	by	from	at	into	by	4択	<早稲田大>
271	11	75	ここだけの話だが、 実のところ、 今夜はむしろ家にいたいのだ。	( ) ourselves, I'd actually rather stay home tonight.	Between	As	With	From	Between	4択	<明治大>
272	11	75	彼は怒りでわれを忘れた。	He was beside himself with rage.	very angry	a bit angry	a bit relieved	very relieved	very angry	4択	<立命館大>
274	12	76	先生はスペリングで間違いをおかした数人の学生に、授業の後、残るように伝えた。	The teacher told some students ( ) made mistakes in their spelling to remain after class.	who	which	who	whom	whose	4択	<京都光華女子大>
275	12	76	彼女は、よく理解することが難しい少女だ。	She is a girl ( ) it is difficult to get to know well.	whom	as	whose	what	whom	4択	<千葉工大>
276	12	76	私たちは、19世紀の産業革命に匹敵するであろう、また別の大変革に近づきつつある。	We are approaching another revolution ( ) will rival the Industrial Revolution of the 19th century.	which	which	what	who	it	4択	<中央大>
278	12	76	仕事が患者を手術することである医者は、外科医と呼ばれる。	A doctor ( ) job is operating on patients is called a surgeon.	whose	who	whose	whom	that	4択	<佛教大>
279	12	76	「そのてっぺんが天までとどく塔を建てよう」 と彼らは言った。	They said, "Let's build a tower ( ) top will reach up to heaven."	whose	which	whose	whom	that	4択	<京都学園大>
281	12	77	彼女には自慢の賢い息子がいる。	She has a clever son ( ).	(不適切) of that she is proud	of whom she is proud	she is proud of	of that she is proud	that she is proud of	4択不適	<東京国際大>
283	12	77	これらは、彼が自分自身の家を建てるのに使った道具である。	These are the tools ( ) he built his own house.	with which	which	that	with which	with that	4択	<青山学院大>
284	12	78	ここはかつてモーツァルトが夕食後に散歩をしていた公園です。	This is the park ( ) Mozart used to take a walk after dinner.	where	that	where	which	why	4択	<京都産大>
285	12	78	昨年の夏にあなたが登った山は、日本で2番目に高い山です。	The mountain ( ) you climbed last summer is the second highest mountain in Japan.	which	what	whom	which	where	4択	<亜細亜大>
286	12	78	むごい戦争が終結するときが間もなくやってくるだろう。	The time will soon come ( ) the cruel war will end.	when	when	what	why	how	4択	<名古屋学院大>
287	12	78	彼女の要求に同意すべきではない理由がいくつかある。	There are several reasons ( ) we should not agree to her request.	why	how	where	which	why	4択	<京都学園大>
292	12	79	私は、日本で2番目に大きな都市である横浜の郊外に住んでいる。	I live in the suburbs of Yokohama, ( ) is Japan's second largest city.	which	where	that	what	which	4択	<名城大>
293	12	79	その新聞社で働いた結果として、 私は未来の夫に出会ったが、彼もやはりそこで働いていたのだった。	As a result of working at the newspaper, I met my future husband, ( ) was also working there.	who	when	which	that	who	4択	<四天王寺大>
294	12	79	この前の冬、私は香港に出かけたが、そこは私が思っていたほど暖かくはなかった。	Last winter I went to Hong Kong, ( ) as warm as I had expected.	where it wasn't	when wasn't	where it wasn't	where wasn't	which it wasn't	4択	<センター試験>
295	12	79	彼女には3人の息子がいたが、全員が医者になった。	She had three sons, all ( ) became doctors.	of whom	of whom	which	who	of which	4択	<東海大>
296	12	79	彼は私に本を2冊貸してくれたが、私はそのどちらも読んでいない。	He lent me two books, neither of ( ) I have read.	which	that	which	what	them	4択	<和洋女子大>
297	12	80	交通渋滞に巻き込まれてしまい、それで私たちは会議に40分遅れてしまった。	We got stuck in a traffic jam, ( ) made us forty minutes late for the meeting.	which	which	that	it	as	4択	<東邦大>
298	12	80	私はその問題を解こうとしたが、それは時間のむだだとわかった。	I tried to solve the problem, ( ) I found a waste of time.	which	what	which	that	when	4択	<和洋女子大>
299	12	80	風呂に入るように言われ、私はその勧めに従った。	I was told to take a bath, ( ) advice I followed.	which	which	whose	its	what	4択	<実践女子大>
300	12	81	最初は易しいと思えることが、後になって難しいとわかることがしばしばある。	( ) seems easy at first often turns out to be difficult.	What	It	That	What	Which	4択	<國學院大>
301	12	81	彼は、稼いだ分を自分の息子のために使う。	He spends ( ) he earns on his son.	what	as	but	that	what	4択	<中部大>
303	12	81	メアリーは、少ないながら持っていたすべてのお金をなくした。	Mary lost ( ) little money she had.	what	which	whose	how	what	4択	<東京家政大>
304	12	82	現在のジャックがあるのは、妻の援助のおかげである。	Jack owes ( ) he is to the support of his wife.	what	as	that	what	which	4択	<京都産大>
308	12	82	あたりはだんだん暗くなり、さらに悪いことに、私たちはホテルを見つけることができなかった。	It was getting dark, and ( ) was worse, we couldn't find our hotel.	what	which	that	what	but	4択	<立命館大>
309	12	82	あなたはそれを覚えておくべきだし、さらには、それをきちんと理解すべきです。	You should remember it, and ( ), you should get it right.	what's more	nevertheless	what's more	however	on time	4択	<大妻女子大>
310	12	83	その地位は、彼女が申し分なく有能だと考えていた男性によって占められた。	The position was filled by a man ( ) she thought was thoroughly competent.	whom	of which	who	whose	whom	4択	<東北学院大>
311	12	83	あなたは、正しいと思うことをしていますか。	Are you doing what ( )?	you think is right	you think you are right	you think it is right	you think is right	it is you think right	4択	<日本工大>
