No	Chapter	Point	Question_JP	Question_EN	Answer	Choices1	Choices2	Choices3	Choices4	Type	Source
315	13	84	(a) は誰にでも、弱点がある。 (b) 弱点のない人はいない。	(b) There is no one ( ) has weaknesses.	but	but	who	that	than	4択書換	<関西学院大>
317	13	85	デレクは、外国語を習得するのに理想的な環境を見つけた。	Derek found an ideal environment ( ).	in which to learn foreign languages	in which foreign languages to be learned	in which to learn foreign languages	learning foreign languages in	which to learn foreign languages in	4択	<慶應義塾大>
321	13	86	キノシタさんが親切にしているのは、彼女の友人たちだけではありません。 彼女は、助けを必要としている人は誰でも助けます。	She helps ( ) needs her help.	whoever	those	whatever	whoever	whom	4択	<センター試験>
322	13	86	どちらの政党が政権に就こうとも、イギリスの外交政策は同じままですか。	Does British foreign policy remain the same, ( ) party is in power?	whichever	whoever	however	whichever	wherever	4択	<立命館大>
323	13	87	私は君がどこに行こうともついていくつもりだ。	I will go with you ( ) you go.	wherever	whatever	wherever	whichever	whoever	4択	(記載なし)
325	13	87	どんなに忙しくても、必ず少なくとも6時間は睡眠をとりなさい。	( ) busy you are, never fail to sleep at least six hours.	However	However	Whoever	Whatever	Whenever	4択	<関東学院大>
326	13	87	どんなに難しくても、新しいコンピュータの操作に習熟しなければならない。	( ) difficult it may be, you have to master the operation of the new computer.	No matter how	No matter however	No matter how	No how	No matter	4択	<専修大>
327	14	88	ジムの日本語はあまり上手ではなかったが、それでも彼のスピーチは聴衆に感銘を与えた。	Jim's Japanese was not very good, ( ) his speech still impressed the audience.	but	because	but	so	therefore	4択	<京都産大>
328	14	88	私はフランス語を話せませんし、読むこともできません。	I can't speak French, ( ) can I read it.	nor	but	also	nor	although	4択	<千葉工大>
329	14	88	なじみのある町ではなかったが、どうにかホテルに着いた。	I was not familiar with the town, ( ) I managed to get to the hotel.	yet	already	so	then	yet	4択	<藤女子大>
331	14	88	(a)もっと一生懸命勉強すれば、あなたは試験に合格するだろう。　(b)もっと一生懸命勉強しなさい、そうすればあなたは試験に合格するだろう。	(a) If you study harder, you will pass the examination. (b) Study harder, (and) you will pass the examination.	and	and	or	but	if	4択書換	<朝日大>
333	14	89	彼は学者ではなく、作家です。	He is not a scholar ( ) a writer.	but	and	also	but	than	4択	<岐阜聖徳学園大>
